Account,Row Type,Action,Keyword status,Campaign,Ad group,Keyword,Type,Final URL
567-953-1692,Keyword,Add,Enabled,Inkdex - Tattoo Search,Duluth MN,tattoo shop duluth,Exact match,https://inkdex.io/us/mn/duluth
567-953-1692,Keyword,Add,Enabled,Inkdex - Tattoo Search,Duluth MN,tattoo artist duluth,Exact match,https://inkdex.io/us/mn/duluth
567-953-1692,Keyword,Add,Enabled,Inkdex - Tattoo Search,Duluth MN,tattoo shop duluth mn,Phrase match,https://inkdex.io/us/mn/duluth
567-953-1692,Keyword,Add,Enabled,Inkdex - Tattoo Search,Duluth MN,duluth tattoo artists,Phrase match,https://inkdex.io/us/mn/duluth
567-953-1692,Keyword,Add,Enabled,Inkdex - Tattoo Search,Huntsville AL,tattoo shop huntsville,Exact match,https://inkdex.io/us/al/huntsville
567-953-1692,Keyword,Add,Enabled,Inkdex - Tattoo Search,Huntsville AL,tattoo artist huntsville,Exact match,https://inkdex.io/us/al/huntsville
567-953-1692,Keyword,Add,Enabled,Inkdex - Tattoo Search,Huntsville AL,tattoo shop huntsville al,Phrase match,https://inkdex.io/us/al/huntsville
567-953-1692,Keyword,Add,Enabled,Inkdex - Tattoo Search,Huntsville AL,huntsville tattoo artists,Phrase match,https://inkdex.io/us/al/huntsville
567-953-1692,Keyword,Add,Enabled,Inkdex - Tattoo Search,Lawrence KS,tattoo shop lawrence,Exact match,https://inkdex.io/us/ks/lawrence
567-953-1692,Keyword,Add,Enabled,Inkdex - Tattoo Search,Lawrence KS,tattoo artist lawrence ks,Exact match,https://inkdex.io/us/ks/lawrence
567-953-1692,Keyword,Add,Enabled,Inkdex - Tattoo Search,Lawrence KS,tattoo shop lawrence ks,Phrase match,https://inkdex.io/us/ks/lawrence
567-953-1692,Keyword,Add,Enabled,Inkdex - Tattoo Search,Lawrence KS,lawrence tattoo artists,Phrase match,https://inkdex.io/us/ks/lawrence
567-953-1692,Keyword,Add,Enabled,Inkdex - Tattoo Search,Norman OK,tattoo shop norman,Exact match,https://inkdex.io/us/ok/norman
567-953-1692,Keyword,Add,Enabled,Inkdex - Tattoo Search,Norman OK,tattoo artist norman ok,Exact match,https://inkdex.io/us/ok/norman
567-953-1692,Keyword,Add,Enabled,Inkdex - Tattoo Search,Norman OK,tattoo shop norman ok,Phrase match,https://inkdex.io/us/ok/norman
567-953-1692,Keyword,Add,Enabled,Inkdex - Tattoo Search,Norman OK,norman tattoo artists,Phrase match,https://inkdex.io/us/ok/norman
